"X_COORD","Y_COORD","HABITAT"
340000,246000,1
341000,246000,1
342000,246000,1
343000,246000,1
344000,246000,1
345000,246000,1
346000,246000,1
347000,246000,1
348000,246000,1
349000,246000,1
304000,247000,0
305000,247000,0
306000,247000,0
307000,247000,0
308000,247000,0
309000,247000,0
310000,247000,0
311000,247000,0
312000,247000,0
313000,247000,0
314000,247000,0
315000,247000,0
316000,247000,0
317000,247000,0
318000,247000,0
319000,247000,0
320000,247000,0
321000,247000,0
322000,247000,0
323000,247000,0
324000,247000,0
325000,247000,0
326000,247000,0
327000,247000,0
328000,247000,0
329000,247000,0
330000,247000,0
331000,247000,0
332000,247000,0
333000,247000,0
334000,247000,0
335000,247000,0
336000,247000,0
337000,247000,0
338000,247000,1
339000,247000,1
340000,247000,1
341000,247000,1
342000,247000,1
343000,247000,1
344000,247000,1
345000,247000,1
346000,247000,1
347000,247000,1
348000,247000,1
349000,247000,1
350000,247000,1
304000,248000,0
305000,248000,0
306000,248000,0
307000,248000,0
308000,248000,0
309000,248000,0
310000,248000,0
311000,248000,0
312000,248000,0
313000,248000,0
314000,248000,0
315000,248000,0
316000,248000,0
317000,248000,0
318000,248000,0
319000,248000,0
320000,248000,0
321000,248000,0
322000,248000,0
323000,248000,0
324000,248000,0
325000,248000,1
326000,248000,1
327000,248000,1
328000,248000,1
329000,248000,1
330000,248000,1
331000,248000,1
332000,248000,0
333000,248000,0
334000,248000,0
335000,248000,0
336000,248000,0
337000,248000,0
338000,248000,1
339000,248000,1
340000,248000,1
341000,248000,1
342000,248000,1
343000,248000,1
344000,248000,1
345000,248000,1
346000,248000,1
347000,248000,1
348000,248000,1
349000,248000,1
350000,248000,1
304000,249000,0
305000,249000,0
306000,249000,0
307000,249000,0
308000,249000,0
309000,249000,0
310000,249000,0
311000,249000,0
312000,249000,0
313000,249000,0
314000,249000,0
315000,249000,0
316000,249000,0
317000,249000,0
318000,249000,0
319000,249000,0
320000,249000,0
321000,249000,1
322000,249000,1
323000,249000,1
324000,249000,1
325000,249000,1
326000,249000,1
327000,249000,1
328000,249000,1
329000,249000,1
330000,249000,1
331000,249000,1
332000,249000,1
333000,249000,0
334000,249000,0
335000,249000,0
336000,249000,0
337000,249000,0
338000,249000,1
339000,249000,1
340000,249000,1
341000,249000,1
342000,249000,1
343000,249000,1
344000,249000,1
345000,249000,1
346000,249000,1
347000,249000,1
348000,249000,1
349000,249000,1
350000,249000,1
351000,249000,1
304000,250000,0
305000,250000,0
306000,250000,0
307000,250000,0
308000,250000,0
309000,250000,0
310000,250000,0
311000,250000,0
312000,250000,0
313000,250000,0
314000,250000,0
315000,250000,0
316000,250000,0
317000,250000,0
318000,250000,0
319000,250000,0
320000,250000,1
321000,250000,1
322000,250000,1
323000,250000,1
324000,250000,1
325000,250000,1
326000,250000,1
327000,250000,1
328000,250000,1
329000,250000,1
330000,250000,1
331000,250000,1
332000,250000,1
333000,250000,1
334000,250000,1
335000,250000,1
336000,250000,0
337000,250000,0
338000,250000,1
339000,250000,1
340000,250000,1
341000,250000,1
342000,250000,1
343000,250000,1
344000,250000,1
345000,250000,1
346000,250000,1
347000,250000,1
348000,250000,1
349000,250000,1
350000,250000,1
351000,250000,1
304000,251000,0
305000,251000,0
306000,251000,0
307000,251000,0
308000,251000,0
309000,251000,0
310000,251000,0
311000,251000,0
312000,251000,0
313000,251000,0
314000,251000,0
315000,251000,0
316000,251000,0
317000,251000,0
318000,251000,0
319000,251000,1
320000,251000,1
321000,251000,1
322000,251000,1
323000,251000,1
324000,251000,1
325000,251000,1
326000,251000,1
327000,251000,1
328000,251000,1
329000,251000,1
330000,251000,1
331000,251000,1
332000,251000,1
333000,251000,1
334000,251000,1
335000,251000,1
336000,251000,1
337000,251000,1
338000,251000,1
339000,251000,1
340000,251000,1
341000,251000,1
342000,251000,1
343000,251000,1
344000,251000,1
345000,251000,1
346000,251000,1
347000,251000,1
348000,251000,1
349000,251000,1
350000,251000,1
351000,251000,1
304000,252000,0
305000,252000,0
306000,252000,0
307000,252000,0
308000,252000,0
309000,252000,0
310000,252000,0
311000,252000,0
312000,252000,0
313000,252000,0
314000,252000,0
315000,252000,0
316000,252000,0
317000,252000,0
318000,252000,0
319000,252000,0
320000,252000,1
321000,252000,1
322000,252000,1
323000,252000,1
324000,252000,1
325000,252000,1
326000,252000,1
327000,252000,1
328000,252000,1
329000,252000,1
330000,252000,1
331000,252000,1
332000,252000,1
333000,252000,1
334000,252000,1
335000,252000,1
336000,252000,1
337000,252000,1
338000,252000,1
339000,252000,1
340000,252000,1
341000,252000,1
342000,252000,1
343000,252000,1
344000,252000,1
345000,252000,1
346000,252000,1
347000,252000,1
348000,252000,1
349000,252000,1
350000,252000,1
351000,252000,1
352000,252000,1
304000,253000,0
305000,253000,0
306000,253000,0
307000,253000,0
308000,253000,0
309000,253000,0
310000,253000,0
311000,253000,0
312000,253000,0
313000,253000,0
314000,253000,0
315000,253000,0
316000,253000,0
317000,253000,0
318000,253000,0
319000,253000,0
320000,253000,0
321000,253000,1
322000,253000,1
323000,253000,1
324000,253000,1
325000,253000,1
326000,253000,1
327000,253000,1
328000,253000,1
329000,253000,1
330000,253000,1
331000,253000,1
332000,253000,1
333000,253000,1
334000,253000,1
335000,253000,1
336000,253000,1
337000,253000,1
338000,253000,1
339000,253000,1
340000,253000,1
341000,253000,1
342000,253000,1
343000,253000,1
344000,253000,1
345000,253000,1
346000,253000,1
347000,253000,1
348000,253000,1
349000,253000,1
350000,253000,1
351000,253000,1
352000,253000,1
304000,254000,0
305000,254000,0
306000,254000,0
307000,254000,0
308000,254000,0
309000,254000,0
310000,254000,0
311000,254000,0
312000,254000,0
313000,254000,0
314000,254000,0
315000,254000,0
316000,254000,0
317000,254000,0
318000,254000,0
319000,254000,0
320000,254000,0
321000,254000,1
322000,254000,1
323000,254000,1
324000,254000,1
325000,254000,1
326000,254000,1
327000,254000,1
328000,254000,1
329000,254000,1
330000,254000,1
331000,254000,1
332000,254000,1
333000,254000,1
334000,254000,1
335000,254000,1
336000,254000,1
337000,254000,1
338000,254000,1
339000,254000,1
340000,254000,1
341000,254000,1
342000,254000,1
343000,254000,1
344000,254000,1
345000,254000,1
346000,254000,1
347000,254000,1
348000,254000,1
349000,254000,1
350000,254000,1
351000,254000,1
352000,254000,1
304000,255000,0
305000,255000,0
306000,255000,0
307000,255000,0
308000,255000,0
309000,255000,0
310000,255000,0
311000,255000,0
312000,255000,0
313000,255000,0
314000,255000,0
315000,255000,0
316000,255000,0
317000,255000,0
318000,255000,0
319000,255000,0
320000,255000,0
321000,255000,0
322000,255000,1
323000,255000,1
324000,255000,1
325000,255000,1
326000,255000,1
327000,255000,1
328000,255000,1
329000,255000,1
330000,255000,1
331000,255000,1
332000,255000,1
333000,255000,1
334000,255000,1
335000,255000,1
336000,255000,1
337000,255000,1
338000,255000,1
339000,255000,1
340000,255000,1
341000,255000,1
342000,255000,1
343000,255000,1
344000,255000,1
345000,255000,1
346000,255000,1
347000,255000,1
348000,255000,1
349000,255000,1
350000,255000,1
351000,255000,1
352000,255000,1
304000,256000,0
305000,256000,0
306000,256000,0
307000,256000,0
308000,256000,0
309000,256000,0
310000,256000,0
311000,256000,0
312000,256000,0
313000,256000,0
314000,256000,0
315000,256000,0
316000,256000,0
317000,256000,0
318000,256000,0
319000,256000,0
320000,256000,0
321000,256000,0
322000,256000,0
323000,256000,0
324000,256000,1
325000,256000,1
326000,256000,1
327000,256000,1
328000,256000,1
329000,256000,1
330000,256000,1
331000,256000,1
332000,256000,1
333000,256000,1
334000,256000,1
335000,256000,1
336000,256000,1
337000,256000,1
338000,256000,1
339000,256000,1
340000,256000,1
341000,256000,1
342000,256000,1
343000,256000,1
344000,256000,1
345000,256000,1
346000,256000,1
347000,256000,1
348000,256000,1
349000,256000,1
350000,256000,1
351000,256000,1
352000,256000,1
353000,256000,1
304000,257000,0
305000,257000,0
306000,257000,0
307000,257000,0
308000,257000,0
309000,257000,0
310000,257000,0
311000,257000,0
312000,257000,0
313000,257000,0
314000,257000,0
315000,257000,0
316000,257000,0
317000,257000,0
318000,257000,0
319000,257000,0
320000,257000,0
321000,257000,0
322000,257000,0
323000,257000,0
324000,257000,0
325000,257000,0
326000,257000,1
327000,257000,1
328000,257000,1
329000,257000,1
330000,257000,1
331000,257000,1
332000,257000,1
333000,257000,1
334000,257000,1
335000,257000,1
336000,257000,1
337000,257000,1
338000,257000,1
339000,257000,1
340000,257000,1
341000,257000,1
342000,257000,1
343000,257000,1
344000,257000,1
345000,257000,1
346000,257000,1
347000,257000,1
348000,257000,1
349000,257000,1
350000,257000,1
351000,257000,1
352000,257000,1
353000,257000,1
304000,258000,0
305000,258000,0
306000,258000,0
307000,258000,0
308000,258000,0
309000,258000,0
310000,258000,0
311000,258000,0
312000,258000,0
313000,258000,0
314000,258000,0
315000,258000,0
316000,258000,0
317000,258000,0
318000,258000,0
319000,258000,0
320000,258000,0
321000,258000,0
322000,258000,0
323000,258000,0
324000,258000,0
325000,258000,0
326000,258000,0
327000,258000,0
328000,258000,1
329000,258000,1
330000,258000,1
331000,258000,1
332000,258000,1
333000,258000,1
334000,258000,1
335000,258000,1
336000,258000,1
337000,258000,1
338000,258000,1
339000,258000,1
340000,258000,1
341000,258000,1
342000,258000,1
343000,258000,1
344000,258000,1
345000,258000,1
346000,258000,1
347000,258000,1
348000,258000,1
349000,258000,1
350000,258000,1
351000,258000,1
352000,258000,1
353000,258000,1
305000,259000,0
306000,259000,0
307000,259000,0
308000,259000,0
309000,259000,0
310000,259000,0
311000,259000,0
312000,259000,0
313000,259000,0
314000,259000,0
315000,259000,0
316000,259000,0
317000,259000,0
318000,259000,0
319000,259000,0
320000,259000,0
321000,259000,0
322000,259000,0
323000,259000,0
324000,259000,0
325000,259000,0
326000,259000,0
327000,259000,0
328000,259000,0
329000,259000,1
330000,259000,1
331000,259000,1
332000,259000,1
333000,259000,1
334000,259000,1
335000,259000,1
336000,259000,1
337000,259000,1
338000,259000,1
339000,259000,1
340000,259000,1
341000,259000,1
342000,259000,1
343000,259000,1
344000,259000,1
345000,259000,1
346000,259000,1
347000,259000,1
348000,259000,1
349000,259000,1
350000,259000,1
351000,259000,1
352000,259000,1
353000,259000,1
305000,260000,0
306000,260000,0
307000,260000,0
308000,260000,0
309000,260000,0
310000,260000,0
311000,260000,0
312000,260000,0
313000,260000,0
314000,260000,0
315000,260000,0
316000,260000,0
317000,260000,0
318000,260000,0
319000,260000,0
320000,260000,0
321000,260000,0
322000,260000,0
323000,260000,0
324000,260000,0
325000,260000,0
326000,260000,0
327000,260000,0
328000,260000,0
329000,260000,0
330000,260000,1
331000,260000,1
332000,260000,1
333000,260000,1
334000,260000,1
335000,260000,1
336000,260000,1
337000,260000,1
338000,260000,1
339000,260000,1
340000,260000,1
341000,260000,1
342000,260000,1
343000,260000,1
344000,260000,1
345000,260000,1
346000,260000,1
347000,260000,1
348000,260000,1
349000,260000,1
350000,260000,1
351000,260000,1
352000,260000,1
353000,260000,1
305000,261000,0
306000,261000,0
307000,261000,0
308000,261000,0
309000,261000,0
310000,261000,0
311000,261000,0
312000,261000,0
313000,261000,0
314000,261000,0
315000,261000,0
316000,261000,0
317000,261000,0
318000,261000,0
319000,261000,0
320000,261000,0
321000,261000,0
322000,261000,0
323000,261000,0
324000,261000,0
325000,261000,0
326000,261000,0
327000,261000,0
328000,261000,0
329000,261000,0
330000,261000,0
331000,261000,1
332000,261000,1
333000,261000,1
334000,261000,1
335000,261000,1
336000,261000,1
337000,261000,1
338000,261000,1
339000,261000,1
340000,261000,1
341000,261000,1
342000,261000,1
343000,261000,1
344000,261000,1
